"","Tm","Attendance","Attend/G","BatAge","PAge","BPF","PPF","#HOF","#A-S","#a-tA-S","Est. Payroll","Managers","yearID","Time"
"62","SLB","430,296","5,517",29.5,28.9,106,105,0,0,0,"$102,050","Fohl and Austin",1923,"0"
"63","STL","338,551","4,340",27.5,29.8,97,97,3,0,0,"$146,800","Rickey",1923,"0"
"64","WSH","357,406","4,524",28.1,29.4,95,95,4,0,2,"$104,900","Bush",1923,"0"
"65","BOS","448,556","5,825",30.1,29.1,99,103,1,0,1,"$112,200","Fohl",1924,"0"
"66","BRO","818,883","10,635",30.8,30.3,97,97,3,0,0,"$158,500","Robinson",1924,"0"
"67","BSN","177,478","2,335",29.1,26.6,95,98,3,0,0,"$133,950","Bancroft",1924,"0"
"68","CHC","716,922","9,191",25.6,27.5,101,100,2,0,1,"$161,910","Killefer",1924,"0"
"69","CHW","606,658","7,879",28.7,26.2,97,97,5,0,1,"$170,500","Evers, Walsh and Collins",1924,"0"
"70","CIN","473,707","6,233",29.8,30.4,99,97,2,0,0,"$203,050","Hendricks",1924,"0"
"71","CLE","481,905","6,425",28.1,27.9,102,101,3,0,1,"$97,900","Speaker",1924,"0"
"72","DET","1,015,136","13,015",29.1,26.7,98,97,4,0,2,"$123,550","Cobb",1924,"0"
"73","NYG","844,068","10,962",27.6,27,98,95,8,0,3,"$195,400","McGraw and Jennings",1924,"0"
"74","NYY","1,053,533","13,507",29.2,29.3,100,99,5,0,2,"$275,450","Huggins",1924,"0"
"75","PHA","531,992","7,093",26.4,25.9,101,101,1,0,2,"$129,914","Mack",1924,"0"
"76","PHI","299,818","3,945",29.4,30,112,115,0,0,1,"$101,835","Fletcher",1924,"0"
"77","PIT","736,883","9,570",27.9,29.3,102,99,4,0,2,"$139,350","McKechnie",1924,"0"
"78","SLB","533,349","6,838",29.8,29.4,106,107,1,0,0,"$119,500","Sisler",1924,"0"
"79","STL","272,885","3,544",26.8,27.8,98,98,4,0,1,"$150,850","Rickey",1924,"0"
"80","WSH","584,310","7,396",28.6,30.3,98,96,4,0,2,"$106,400","Harris",1924,"0"
"81","BOS","267,782","3,570",27.8,27.7,99,103,1,0,1,"$126,150","Fohl",1925,"0"
"82","BRO","659,435","8,564",31.4,30.3,97,97,3,0,0,"$179,353","Robinson",1925,"0"
"83","BSN","313,528","4,125",28,27.9,91,94,3,0,0,"$134,990","Bancroft",1925,"0"
"84","CHC","622,610","8,086",27.5,28.2,102,102,3,0,1,"$183,382","Killefer, Maranville and Gibson",1925,"0"
"85","CHW","832,231","10,808",29.8,27.5,95,94,6,0,1,"$140,850","Collins",1925,"0"
"86","CIN","464,920","6,117",29.6,30.8,98,96,2,0,0,"$189,900","Hendricks",1925,"0"
"87","CLE","419,005","5,442",28.1,28.3,101,101,2,0,1,"$101,900","Speaker",1925,"0"
"88","DET","820,766","10,659",29.1,28.4,98,98,4,0,2,"$115,850","Cobb",1925,"0"
"89","NYG","778,993","10,250",27.9,28,96,95,8,0,3,"$200,800","McGraw and Jennings",1925,"0"
"90","NYY","697,267","8,826",28.2,29.9,98,97,6,0,2,"$287,350","Huggins",1925,"0"
"91","PHA","869,703","11,295",27,28.1,107,106,4,0,5,"$136,850","Mack",1925,"0"
"92","PHI","304,905","3,960",29.6,30.8,108,112,0,0,1,"$135,250","Fletcher",1925,"0"
"93","PIT","804,354","10,446",28,30.3,106,104,3,0,2,"$168,050","McKechnie",1925,"0"
"94","SLB","462,898","5,935",29.3,29.6,105,106,1,0,0,"$122,150","Sisler",1925,"0"
"95","STL","404,959","5,328",27,27.8,102,101,4,0,2,"$155,900","Rickey and Hornsby",1925,"0"
"96","WSH","817,199","10,753",29.8,31.8,98,96,5,0,3,"$164,200","Harris",1925,"0"
"97","BOS","285,155","3,703",28.4,25.3,96,101,1,0,2,"$119,150","Fohl",1926,"0"
"98","BRO","650,819","8,563",30.9,31.5,98,99,5,0,0,"$206,983","Robinson",1926,"0"
"99","BSN","303,598","3,943",28.6,28.4,91,92,1,0,0,"$140,975","Bancroft",1926,"0"
