"","Tm","Attendance","Attend/G","BatAge","PAge","BPF","PPF","#HOF","#A-S","#a-tA-S","Est. Payroll","Managers","yearID","Time"
"561","BAL","852,039","10,785",29.4,30.7,92,95,1,1,11,"$120,250","Richards",1955,"2:33"
"562","BOS","1,203,200","15,426",27.7,26.7,109,109,1,3,12,"","Higgins",1955,"2:34"
"563","BRO","1,033,589","13,423",29.8,26.2,104,101,6,4,16,"$231,000","Alston",1955,"2:34"
"564","CHC","875,800","11,374",28.5,29.7,100,102,1,4,9,"","Hack",1955,"2:27"
"565","CHW","1,175,684","15,269",30,30.8,102,99,2,5,18,"","Marion",1955,"2:35"
"566","CIN","693,662","9,009",27.8,28.4,105,104,0,3,11,"$107,000","Tebbetts",1955,"2:28"
"567","CLE","1,221,780","15,867",30.5,29.8,104,101,6,6,27,"$254,900","Lopez",1955,"2:37"
"568","DET","1,181,838","15,349",26.8,27,98,98,2,3,11,"$122,500","Harris",1955,"2:32"
"569","KCA","1,393,054","18,330",28.7,28.1,100,105,1,2,12,"$134,000","Boudreau",1955,"2:31"
"570","MLN","2,005,836","26,050",27.2,27.2,96,93,3,5,14,"","Grimm",1955,"2:30"
"571","NYG","824,112","10,432",28.6,29.7,101,101,3,2,13,"$229,000","Durocher",1955,"2:35"
"572","NYY","1,490,138","19,352",28,27.5,99,95,5,4,24,"$216,250","Stengel",1955,"2:40"
"573","PHI","922,886","11,986",28.9,28.7,98,98,2,3,12,"","Smith",1955,"2:32"
"574","PIT","469,397","6,259",25.5,26.8,98,101,1,1,10,"","Haney",1955,"2:23"
"575","STL","849,130","11,028",28.1,27.2,99,100,2,4,14,"","Stanky and Walker",1955,"2:32"
"576","WSH","425,238","5,523",27.4,26.1,96,99,1,1,14,"","Dressen",1955,"2:29"
"577","BAL","901,201","11,704",28.2,30,91,93,3,1,12,"$122,500","Richards",1956,"2:31"
"578","BOS","1,137,158","14,579",28.3,27.5,112,111,1,5,12,"","Higgins",1956,"2:34"
"579","BRO","1,213,562","15,761",31,28.2,109,106,7,4,20,"$243,500","Alston",1956,"2:32"
"580","CHC","720,118","9,001",28.4,28.8,99,101,2,1,8,"","Hack",1956,"2:28"
"581","CHW","1,000,090","12,988",30.2,31.5,101,98,4,4,16,"","Marion",1956,"2:37"
"582","CIN","1,125,928","14,622",27.7,29.5,105,104,1,8,14,"","Tebbetts",1956,"2:30"
"583","CLE","865,467","11,240",30,30.6,102,101,3,3,23,"","Lopez",1956,"2:34"
"584","DET","1,051,182","13,477",27.2,28,101,100,2,4,13,"$112,700","Harris",1956,"2:33"
"585","KCA","1,015,154","13,184",28.7,28.7,100,104,2,2,9,"$142,600","Boudreau",1956,"2:31"
"586","MLN","2,046,331","26,576",27.5,28.6,94,92,3,4,14,"","Grimm and Haney",1956,"2:28"
"587","NYG","629,179","8,171",27.5,29.4,99,100,3,2,14,"","Rigney",1956,"2:30"
"588","NYY","1,491,784","19,374",28.1,26.4,97,93,5,6,26,"$271,000","Stengel",1956,"2:42"
"589","PHI","934,798","12,140",29.5,28.7,98,98,2,2,13,"","Smith",1956,"2:31"
"590","PIT","949,878","12,178",25.2,26.8,97,99,2,2,16,"","Bragan",1956,"2:26"
"591","STL","1,029,773","13,202",28.7,28.7,99,99,2,3,21,"","Hutchinson",1956,"2:33"
"592","WSH","431,647","5,606",26.8,24.8,96,100,2,1,8,"","Dressen",1956,"2:34"
"593","BAL","1,029,581","13,371",29.1,29.9,93,94,3,3,14,"","Richards",1957,"2:31"
"594","BOS","1,181,087","15,339",29,27,106,105,1,2,11,"","Higgins",1957,"2:32"
"595","BRO","1,028,258","13,354",30.1,26.7,109,106,5,3,20,"","Alston",1957,"2:34"
"596","CHC","670,629","8,598",27.7,26.4,99,100,1,1,7,"$122,500","Scheffing",1957,"2:40"
"597","CHW","1,135,668","14,749",30,30.9,101,99,3,3,14,"","Lopez",1957,"2:37"
"598","CIN","1,070,850","13,907",28.6,29.4,106,105,1,6,14,"","Tebbetts",1957,"2:37"
"599","CLE","722,256","9,380",28.9,30.7,100,99,4,3,21,"","Farrell",1957,"2:40"
"600","DET","1,272,346","16,524",27,27,103,102,2,4,12,"$165,500","Tighe",1957,"2:35"
"601","KCA","901,067","11,702",28.8,28.8,101,104,0,1,13,"","Boudreau and Craft",1957,"2:30"
"602","MLN","2,215,404","28,403",28,29,93,90,4,6,17,"","Haney",1957,"2:32"
"603","NYG","653,923","8,493",29.4,27.7,100,101,2,2,14,"","Rigney",1957,"2:32"
"604","NYY","1,497,134","19,443",28.4,27.9,99,95,4,8,21,"$318,000","Stengel",1957,"2:38"
"605","PHI","1,146,230","14,695",28.1,28.1,97,98,2,2,12,"","Smith",1957,"2:32"
"606","PIT","850,732","11,048",26.1,26.4,97,98,2,1,14,"","Bragan and Murtaugh",1957,"2:27"
"607","STL","1,183,575","15,371",28.5,27.5,102,102,2,4,17,"","Hutchinson",1957,"2:37"
"608","WSH","457,079","5,936",28.4,25.6,98,102,2,1,9,"$97,300","Dressen and Lavagetto",1957,"2:30"
"609","BAL","829,991","10,641",29.2,27.9,94,95,3,2,10,"","Richards",1958,"2:25"
"610","BOS","1,077,047","13,988",28.9,27.2,106,106,1,3,11,"","Higgins",1958,"2:32"
"611","CHC","979,904","12,726",28.5,25.1,99,100,1,3,10,"","Scheffing",1958,"2:37"
"612","CHW","797,451","10,357",29.5,32.4,99,97,3,5,22,"","Lopez",1958,"2:36"
"613","CIN","788,582","10,241",29.6,30.4,106,106,1,2,17,"","Tebbetts and Dykes",1958,"2:32"
"614","CLE","663,805","8,734",28.7,27.6,99,98,3,2,22,"","Bragan and Gordon",1958,"2:35"
"615","DET","1,098,924","14,272",27.5,27.2,107,107,2,2,14,"$122,600","Tighe and Norman",1958,"2:31"
"616","KCA","925,090","11,860",28.4,28.9,102,104,1,1,15,"","Craft",1958,"2:29"
"617","LAD","1,845,556","23,968",29,25.2,104,105,4,2,21,"$344,300","Alston",1958,"2:34"
"618","MLN","1,971,101","25,599",28.7,29.9,92,90,4,6,17,"","Haney",1958,"2:27"
"619","NYY","1,428,438","18,313",28,29.1,96,94,4,9,21,"$348,750","Stengel",1958,"2:35"
"620","PHI","931,110","12,092",29.1,28,99,101,2,2,11,"$186,500","Smith and Sawyer",1958,"2:35"
"621","PIT","1,311,988","17,039",26.5,27.1,98,98,2,4,13,"","Murtaugh",1958,"2:28"
"622","SFG","1,272,625","16,528",26.8,27.6,98,97,2,3,17,"","Rigney",1958,"2:36"
"623","STL","1,063,730","13,815",27.7,28.7,105,105,1,3,16,"$173,500","Hutchinson and Hack",1958,"2:32"
"624","WSH","475,288","6,093",28.2,26.4,98,101,2,1,9,"","Lavagetto",1958,"2:26"
"625","BAL","891,926","11,435",30.1,27.4,97,98,2,7,16,"$130,800","Richards",1959,"2:27"
"626","BOS","984,102","12,781",29.1,26.7,104,104,1,6,13,"","Higgins, York and Jurges",1959,"2:42"
"627","CHC","858,255","11,146",29.1,26.3,98,99,2,4,14,"","Scheffing",1959,"2:37"
"628","CHW","1,423,144","18,245",29.8,31.6,99,98,4,9,24,"$201,200","Lopez",1959,"2:39"
"629","CIN","801,298","10,406",28,28.8,103,103,1,6,20,"","Smith and Hutchinson",1959,"2:33"
"630","CLE","1,497,976","19,454",28.6,27.1,97,96,0,7,16,"","Gordon",1959,"2:36"
"631","DET","1,221,221","15,860",28.8,28.4,106,105,3,5,14,"","Norman and Dykes",1959,"2:31"
"632","KCA","963,683","12,515",28.6,28.6,102,104,2,3,14,"","Craft",1959,"2:30"
"633","LAD","2,071,045","26,552",28.2,25.9,107,107,3,6,19,"$409,800","Alston",1959,"2:41"
"634","MLN","1,749,112","22,141",29.5,30.2,91,89,5,11,21,"","Haney",1959,"2:33"
"635","NYY","1,552,030","20,156",28.4,28.4,96,94,4,14,18,"$431,800","Stengel",1959,"2:41"
"636","PHI","802,815","10,293",28.9,27.4,101,103,3,2,10,"$161,139","Sawyer",1959,"2:28"
"637","PIT","1,359,917","17,661",27.9,28.8,98,97,2,8,15,"","Murtaugh",1959,"2:31"
"638","SFG","1,422,130","18,469",26.2,28.4,97,96,3,7,17,"","Rigney",1959,"2:38"
"639","STL","929,953","12,077",28.2,26,106,107,2,12,19,"$152,000","Hemus",1959,"2:36"
"640","WSH","615,372","7,992",27,26.9,100,102,1,7,11,"","Lavagetto",1959,"2:30"
"641","BAL","1,187,849","15,427",27.8,25.4,99,99,2,8,17,"$120,500","Richards",1960,"2:34"
"642","BOS","1,129,866","14,674",29.1,27.6,103,104,1,8,12,"","Jurges, Baker and Higgins",1960,"2:36"
"643","CHC","809,770","10,250",28.1,24.5,98,100,4,2,16,"","Grimm and Boudreau",1960,"2:40"
"644","CHW","1,644,460","21,357",30.8,32,100,99,3,14,19,"","Lopez",1960,"2:42"
"645","CIN","663,486","8,617",27.3,28.1,102,101,1,6,22,"","Hutchinson",1960,"2:36"
"646","CLE","950,985","12,350",28.2,25.4,97,97,0,8,15,"","Gordon, White and Dykes",1960,"2:36"
"647","DET","1,167,669","15,165",28.7,28.8,104,103,2,4,15,"","Dykes, Hitchcock and Gordon",1960,"2:42"
"648","KCA","774,944","9,935",28.3,28.6,101,103,2,2,10,"","Elliott",1960,"2:33"
"649","LAD","2,253,887","29,271",27.8,25.3,106,105,3,8,19,"$587,100","Alston",1960,"2:43"
"650","MLN","1,497,799","19,452",30,30.4,92,91,5,10,17,"","Dressen",1960,"2:42"
"651","NYY","1,627,349","21,134",28.2,28.5,95,93,3,14,18,"$341,750","Stengel",1960,"2:45"
"652","PHI","862,205","11,197",26.1,26.8,99,103,1,2,10,"","Sawyer, Cohen and Mauch",1960,"2:33"
"653","PIT","1,705,828","21,870",28.6,29.6,101,100,2,16,15,"","Murtaugh",1960,"2:31"
"654","SFG","1,795,356","23,316",26.8,28.5,94,93,4,6,19,"","Rigney and Sheehan",1960,"2:39"
"655","STL","1,096,632","14,242",28.7,25.7,108,108,2,10,20,"","Hemus",1960,"2:36"
"656","WSH","743,404","9,655",27.3,26.8,102,103,1,4,11,"","Lavagetto",1960,"2:43"
"657","BAL","951,089","11,599",27.4,27,96,95,4,8,14,"","Richards and Harris",1961,"2:32"
"658","BOS","850,589","10,373",27.5,27.6,101,103,1,2,12,"","Higgins",1961,"2:38"
"659","CHC","673,057","8,629",27.2,25.1,100,103,5,5,11,"","Himsl, Craft, Tappe and Klein",1961,"2:39"
"660","CHW","1,146,019","14,148",30.3,31.6,98,97,3,5,18,"","Lopez",1961,"2:36"
"661","CIN","1,117,603","14,514",26.9,26.5,101,100,1,8,16,"","Hutchinson",1961,"2:40"
"662","CLE","725,547","8,957",28.8,25,97,97,0,7,12,"","Dykes and Harder",1961,"2:33"
"663","DET","1,600,710","19,521",27.5,29.1,103,102,2,9,13,"","Scheffing",1961,"2:38"
"664","KCA","683,817","8,548",27.3,26.8,100,103,0,2,11,"","Gordon and Bauer",1961,"2:33"
"665","LAA","603,510","7,360",28.2,27.5,110,111,0,2,14,"","Rigney",1961,"2:41"
"666","LAD","1,804,250","23,432",27.8,25.8,107,106,3,7,17,"$324,000","Alston",1961,"2:46"
"667","MIN","1,256,723","15,515",27.6,26.4,105,105,1,3,12,"","Lavagetto and Mele",1961,"2:41"
"668","MLN","1,101,441","14,304",28.8,30.8,92,91,4,8,18,"","Dressen and Tebbetts",1961,"2:45"
"669","NYY","1,747,725","21,577",28.4,27.8,95,92,3,14,18,"","Houk",1961,"2:33"
"670","PHI","590,039","7,565",25.8,27.1,97,100,1,2,8,"","Mauch",1961,"2:42"
"671","PIT","1,199,128","15,573",29.3,30.2,99,98,2,8,19,"","Murtaugh",1961,"2:33"
"672","SFG","1,390,679","18,061",26.8,27.6,96,94,4,9,19,"","Dark",1961,"2:43"
"673","STL","855,305","10,965",28.4,26.3,109,109,3,6,15,"","Hemus and Keane",1961,"2:39"
"674","WSA","597,287","7,561",29.3,29.2,94,97,0,2,8,"","Vernon",1961,"2:31"
"675","BAL","790,254","9,637",27.3,28,94,93,5,8,15,"$220,000","Hitchcock",1962,"2:31"
"676","BOS","733,080","9,279",27.7,27.6,103,104,1,2,10,"","Higgins",1962,"2:37"
"677","CHC","609,802","7,528",25.8,26.6,104,105,4,4,9,"","Tappe, Klein and Metro",1962,"2:42"
"678","CHW","1,131,562","13,970",29,29.2,100,99,3,5,16,"","Lopez",1962,"2:38"
"679","CIN","982,095","12,125",27.2,28.4,104,102,1,3,17,"","Hutchinson",1962,"2:47"
"680","CLE","716,076","8,840",27.7,26.8,97,97,0,4,11,"","McGaha and Harder",1962,"2:33"
"681","DET","1,207,881","14,730",28.3,29.5,104,103,2,7,12,"","Scheffing",1962,"2:40"
"682","HOU","924,456","11,274",29.5,28.9,93,95,0,2,11,"","Craft",1962,"2:37"
"683","KCA","635,675","7,848",27.2,26.7,104,106,0,2,9,"","Bauer",1962,"2:35"
"684","LAA","1,144,063","14,124",27.7,27.3,97,97,0,7,10,"","Rigney",1962,"2:37"
"685","LAD","2,755,184","33,195",27,25.7,94,92,3,9,15,"$293,700","Alston",1962,"2:47"
"686","MIN","1,433,116","17,477",26.6,26.7,104,103,1,7,14,"","Mele",1962,"2:41"
"687","MLN","766,921","9,468",28.1,28.9,97,96,4,10,16,"","Tebbetts",1962,"2:41"
"688","NYM","922,530","11,532",29.1,26.7,101,105,1,2,13,"","Stengel",1962,"2:53"
"689","NYY","1,493,574","18,670",28.2,27.8,98,95,3,13,19,"","Houk",1962,"2:36"
"690","PHI","762,034","9,525",27.2,25.8,97,98,0,3,8,"","Mauch",1962,"2:44"
"691","PIT","1,090,648","13,465",29.7,30.5,101,100,3,6,16,"","Murtaugh",1962,"2:34"
"692","SFG","1,592,594","19,422",27.5,28.8,99,97,5,9,17,"","Dark",1962,"2:43"
"693","STL","953,895","11,776",28.2,27.7,111,109,3,6,12,"","Keane",1962,"2:38"
"694","WSA","729,775","9,122",28.5,27.5,100,102,0,2,8,"","Vernon",1962,"2:27"
"695","BAL","774,343","9,560",27.4,28,96,95,3,3,14,"","Hitchcock",1963,"2:28"
"696","BOS","942,642","11,783",27.9,26.3,103,104,2,4,12,"","Pesky",1963,"2:34"
"697","CHC","979,551","12,093",25.8,28.5,106,107,4,2,10,"","Kennedy",1963,"2:28"
"698","CHW","1,158,848","14,132",27.2,28.5,98,96,2,2,15,"","Lopez",1963,"2:31"
"699","CIN","858,805","10,603",26.4,29.2,103,101,1,2,18,"","Hutchinson",1963,"2:30"
"700","CLE","562,507","6,945",27,28.2,99,100,1,1,19,"","Tebbetts",1963,"2:31"
"701","DET","821,952","10,148",28.5,28.5,103,103,3,2,15,"","Scheffing and Dressen",1963,"2:31"
"702","HOU","719,502","8,883",27,29.4,94,96,1,1,10,"","Craft",1963,"2:21"
"703","KCA","762,364","9,412",28.2,27.4,106,108,1,1,9,"","Lopat",1963,"2:26"
"704","LAA","821,015","10,136",27.5,28,94,94,0,3,10,"","Rigney",1963,"2:29"
"705","LAD","2,538,602","31,341",27.4,26.5,92,91,2,4,15,"$321,500","Alston",1963,"2:28"
"706","MIN","1,406,652","17,366",27.2,26.7,102,100,1,4,17,"","Mele",1963,"2:34"
"707","MLN","773,018","9,427",27.6,28.1,99,98,4,3,13,"","Bragan",1963,"2:36"
"708","NYM","1,080,108","13,335",27.5,27.6,100,105,1,1,10,"","Stengel",1963,"2:37"
"709","NYY","1,308,920","16,362",28,26.8,99,97,3,6,16,"","Houk",1963,"2:26"
"710","PHI","907,141","11,199",28.3,27.4,99,98,0,1,12,"","Mauch",1963,"2:34"
"711","PIT","783,648","9,675",27.6,28.7,100,100,3,2,14,"","Murtaugh",1963,"2:31"
"712","SFG","1,571,306","19,399",28.2,28.8,99,97,5,5,17,"","Dark",1963,"2:35"
"713","STL","1,170,546","14,451",28.8,29.1,110,108,3,5,13,"","Keane",1963,"2:33"
"714","WSA","535,604","6,695",28.6,28.2,100,103,0,1,11,"","Vernon, Yost and Hodges",1963,"2:27"
"715","BAL","1,116,215","13,612",27.9,27.9,100,99,3,3,16,"$221,000","Bauer",1964,"2:31"
"716","BOS","883,276","10,905",27.5,25.8,105,107,2,3,11,"","Pesky and Herman",1964,"2:39"
"717","CHC","751,647","9,280",27.3,30,104,105,4,3,12,"","Kennedy",1964,"2:33"
"718","CHW","1,250,053","15,433",27.1,29.1,97,95,1,2,14,"$283,250","Lopez",1964,"2:33"
"719","CIN","862,466","10,518",26.1,28.5,103,102,2,2,17,"","Hutchinson and Sisler",1964,"2:33"
"720","CLE","653,293","7,967",27.2,27.9,100,100,0,1,21,"$211,250","Strickland and Tebbetts",1964,"2:39"
"721","DET","816,139","9,953",27.6,27,102,101,1,3,12,"","Dressen",1964,"2:35"
"722","HOU","725,773","8,960",28,30.9,94,97,2,1,13,"","Craft and Harris",1964,"2:21"
"723","KCA","642,478","7,932",26.5,26.6,104,106,0,2,10,"","Lopat and McGaha",1964,"2:40"
"724","LAA","760,439","9,388",27.3,26.3,90,91,0,2,12,"$256,300","Rigney",1964,"2:31"
"725","LAD","2,228,751","27,515",26.9,25.6,93,91,2,2,15,"$434,700","Alston",1964,"2:34"
"726","MIN","1,207,514","14,726",26.9,27.3,101,99,1,5,14,"$249,750","Mele",1964,"2:45"
"727","MLN","910,911","11,246",27.5,27.9,101,100,5,2,16,"","Bragan",1964,"2:32"
"728","NYM","1,732,597","21,129",26.9,26.2,96,100,0,1,8,"","Stengel",1964,"2:39"
"729","NYY","1,305,638","16,119",28.2,27,102,100,2,5,16,"$337,000","Berra",1964,"2:36"
"730","PHI","1,425,891","17,604",26.8,26.9,99,98,1,3,17,"","Mauch",1964,"2:39"
"731","PIT","759,496","9,376",27.8,28.8,99,99,3,4,13,"","Murtaugh",1964,"2:31"
"732","SFG","1,504,364","18,572",27.4,27.7,102,100,6,3,17,"","Dark",1964,"2:39"
"733","STL","1,143,294","14,115",27.9,29.2,109,108,2,4,13,"","Keane",1964,"2:33"
"734","WSA","600,106","7,409",28.6,27.5,100,103,0,1,10,"","Hodges",1964,"2:33"
"735","BAL","781,649","9,894",27.4,27.4,102,100,4,2,17,"$331,500","Bauer",1965,"2:32"
"736","BOS","652,201","8,052",26.7,26.5,106,108,1,2,10,"","Herman",1965,"2:37"
"737","CAL","566,727","7,084",26.4,25,97,97,0,1,14,"$270,900","Rigney",1965,"2:31"
"738","CHC","641,361","7,727",27.9,29.7,102,104,3,3,15,"","Kennedy and Klein",1965,"2:36"
"739","CHW","1,130,519","13,957",27.9,27.8,93,91,1,2,15,"$319,650","Lopez",1965,"2:34"
"740","CIN","1,047,824","12,936",26.2,27.2,107,106,2,6,15,"","Sisler",1965,"2:45"
"741","CLE","934,786","11,400",27.6,27.1,101,101,0,4,18,"$296,500","Tebbetts",1965,"2:40"
"742","DET","1,029,645","12,712",27,27,101,101,1,4,12,"$363,400","Swift and Dressen",1965,"2:35"
"743","HOU","2,151,470","26,561",26.9,28.5,92,94,3,1,15,"","Harris",1965,"2:30"
"744","KCA","528,344","6,523",25.9,26.5,99,101,2,1,11,"$306,100","McGaha and Sullivan",1965,"2:39"
"745","LAD","2,553,577","31,526",27.9,27.6,93,92,2,3,14,"$368,500","Alston",1965,"2:36"
"746","MIN","1,463,258","18,065",27.4,28.5,105,103,1,6,14,"$354,350","Mele",1965,"2:41"
"747","MLN","555,584","6,859",28,26.5,100,99,4,2,13,"","Bragan",1965,"2:37"
"748","NYM","1,768,389","21,566",26.5,27.3,95,99,2,1,11,"$275,000","Stengel and Westrum",1965,"2:39"
"749","NYY","1,213,552","14,621",28.3,27.2,99,98,2,5,15,"$460,200","Keane",1965,"2:29"
"750","PHI","1,166,376","14,580",27.1,29,98,97,2,3,17,"","Mauch",1965,"2:46"
"751","PIT","909,279","11,089",28.1,29.6,100,99,3,3,13,"","Walker",1965,"2:36"
"752","SFG","1,546,075","19,087",26.7,28.8,103,102,6,2,16,"","Franks",1965,"2:37"
"753","STL","1,241,201","15,323",28.4,28.9,109,109,3,1,14,"$308,000","Schoendienst",1965,"2:39"
"754","WSA","560,083","6,915",28.4,28,98,100,0,1,11,"$263,700","Hodges",1965,"2:36"
"755","ATL","1,539,801","18,778",28.2,27.9,103,102,4,3,17,"","Bragan and Hitchcock",1966,"2:39"
"756","BAL","1,203,366","15,232",27,25.7,99,98,4,4,13,"$341,550","Bauer",1966,"2:39"
"757","BOS","811,172","10,014",25.3,27.4,111,111,1,2,13,"$257,000","Herman and Runnels",1966,"2:40"
"758","CAL","1,400,321","17,288",26.3,27.9,97,97,0,2,15,"$234,500","Rigney",1966,"2:39"
"759","CHC","635,891","7,851",26.6,26.9,101,102,5,1,18,"","Durocher",1966,"2:37"
"760","CHW","990,016","12,222",28.2,27.8,93,92,1,1,14,"$272,250","Stanky",1966,"2:37"
"761","CIN","742,958","9,405",26.3,27.5,110,109,1,2,15,"","Heffner and Bristol",1966,"2:38"
"762","CLE","903,359","11,153",28.5,26.5,100,100,0,4,19,"$235,000","Tebbetts and Strickland",1966,"2:39"
"763","DET","1,124,293","13,880",27.8,28.3,103,101,1,5,13,"$387,500","Dressen, Swift and Skaff",1966,"2:40"
"764","HOU","1,872,108","23,112",25.7,28.2,93,95,2,2,13,"","Hatton",1966,"2:28"
"765","KCA","773,929","9,555",25.5,24.5,97,99,1,1,9,"$248,800","Dark",1966,"2:38"
"766","LAD","2,617,029","32,309",28.3,26.9,92,91,3,4,16,"$807,500","Alston",1966,"2:33"
"767","MIN","1,259,374","15,548",27.8,28.2,107,105,1,4,13,"$377,250","Mele",1966,"2:30"
"768","NYM","1,932,693","23,860",26.9,26,97,101,1,1,15,"$284,350","Westrum",1966,"2:40"
"769","NYY","1,124,648","13,715",28.5,26.9,95,96,2,2,16,"$476,500","Keane and Houk",1966,"2:30"
"770","PHI","1,108,201","13,681",29.2,30.1,100,100,2,2,18,"","Mauch",1966,"2:45"
"771","PIT","1,196,618","14,773",28.2,29.1,100,99,3,3,14,"","Walker",1966,"2:37"
"772","SFG","1,657,192","20,459",26.7,28,104,103,5,6,13,"$386,500","Franks",1966,"2:32"
"773","STL","1,712,980","21,148",26.8,27.5,100,100,4,3,13,"","Schoendienst",1966,"2:32"
"774","WSA","576,260","7,388",27.5,26.9,99,101,0,1,9,"$162,800","Hodges",1966,"2:35"
"775","ATL","1,389,222","17,151",28.7,28.1,99,99,3,3,14,"","Hitchcock and Silvestri",1967,"2:37"
"776","BAL","955,053","12,403",26.9,26,100,98,4,3,15,"$368,000","Bauer",1967,"2:35"
"777","BOS","1,727,832","21,331",25.4,27.2,109,109,1,4,17,"$237,200","Williams",1967,"2:39"
"778","CAL","1,317,713","15,876",27.1,28.1,95,96,0,3,12,"$316,000","Rigney",1967,"2:37"
"779","CHC","977,226","11,634",27.5,25.1,105,105,4,2,16,"","Durocher",1967,"2:40"
"780","CHW","985,634","12,020",28.3,28.8,94,93,1,4,16,"$465,550","Stanky",1967,"2:42"
"781","CIN","958,300","11,831",26.6,26.3,112,112,2,3,15,"$231,500","Bristol",1967,"2:34"
"782","CLE","662,980","8,185",28.4,26.9,102,102,0,2,17,"$261,100","Adcock",1967,"2:45"
"783","DET","1,447,143","17,648",28.4,27.6,103,101,2,3,17,"$316,000","Smith",1967,"2:39"
"784","HOU","1,348,303","16,646",26,26.4,96,97,2,3,14,"","Hatton",1967,"2:37"
"785","KCA","726,639","8,971",24.8,23.6,98,99,2,1,10,"$190,700","Dark and Appling",1967,"2:34"
"786","LAD","1,664,362","20,548",27.5,27,91,91,2,2,13,"$378,500","Alston",1967,"2:37"
"787","MIN","1,483,547","18,315",28,27.5,109,108,2,4,12,"$431,000","Mele and Ermer",1967,"2:33"
"788","NYM","1,565,492","20,070",25.8,26.3,98,100,1,1,14,"$324,400","Westrum and Parker",1967,"2:34"
"789","NYY","1,259,514","15,360",28.1,27,95,96,2,2,14,"$423,650","Houk",1967,"2:37"
"790","PHI","828,888","10,361",28.8,30.6,101,101,1,2,17,"","Mauch",1967,"2:38"
"791","PIT","907,012","11,198",29.2,29.1,100,99,3,3,15,"","Walker and Murtaugh",1967,"2:36"
"792","SFG","1,242,480","15,152",27.2,28.6,100,99,4,3,13,"$404,000","Franks",1967,"2:36"
"793","STL","2,090,145","25,804",27.8,26.9,99,97,4,4,13,"$416,500","Schoendienst",1967,"2:34"
"794","WSA","770,868","9,636",26.7,26.4,96,98,0,1,8,"$221,000","Hodges",1967,"2:40"
"795","ATL","1,126,540","13,908",28.7,27.5,101,101,3,3,12,"","Harris",1968,"2:28"
"796","BAL","943,977","11,800",26.9,25.9,100,98,2,3,12,"$273,600","Bauer and Weaver",1968,"2:35"
"797","BOS","1,940,788","23,960",26.4,27.4,107,107,1,4,17,"$605,000","Williams",1968,"2:37"
"798","CAL","1,025,956","12,666",27.3,26.7,95,97,0,1,13,"$397,400","Rigney",1968,"2:35"
"799","CHC","1,043,409","12,725",28.4,25.4,107,106,4,3,12,"","Durocher",1968,"2:32"
"800","CHW","803,775","9,923",28.3,29.7,105,107,2,2,16,"$384,700","Stanky, Moss and Lopez",1968,"2:34"
"801","CIN","733,354","8,943",26.5,27.1,106,106,2,5,15,"","Bristol",1968,"2:39"
"802","CLE","857,994","10,593",27.4,27,99,100,0,3,16,"$261,800","Dark",1968,"2:40"
"803","DET","2,031,847","25,085",28.1,26.8,103,101,2,4,14,"$501,100","Smith",1968,"2:38"
"804","HOU","1,312,887","16,208",25.6,26.3,97,99,1,1,13,"","Hatton and Walker",1968,"2:31"
"805","LAD","1,581,093","19,520",27.9,26.9,92,92,2,2,16,"","Alston",1968,"2:31"
"806","MIN","1,143,257","14,114",28.2,27.9,106,105,2,3,12,"$493,900","Ermer",1968,"2:32"
"807","NYM","1,781,657","21,728",26,26.1,100,101,2,3,8,"","Hodges",1968,"2:34"
"808","NYY","1,185,666","14,459",28.1,27.1,95,96,2,2,15,"$409,000","Houk",1968,"2:29"
"809","OAK","837,466","10,090",24.8,24,94,93,4,3,9,"","Kennedy",1968,"2:34"
"810","PHI","664,546","8,204",29.2,29.2,100,101,0,1,13,"","Mauch, Myatt and Skinner",1968,"2:31"
"811","PIT","693,485","8,562",29.7,29.4,98,97,4,2,17,"","Shepard",1968,"2:37"
"812","SFG","837,220","10,336",27.9,29,101,100,4,3,13,"$557,000","Franks",1968,"2:34"
"813","STL","2,011,167","24,829",28.7,27,99,97,5,4,11,"$651,600","Schoendienst",1968,"2:24"
"814","WSA","546,661","6,749",26.9,26.9,96,97,0,1,7,"$244,500","Lemon",1968,"2:35"
"815","ATL","1,458,320","18,004",29.1,27.5,101,101,4,3,14,"","Harris",1969,"2:26"
"816","BAL","1,062,069","13,112",28.2,27.7,101,98,3,6,13,"","Weaver",1969,"2:30"
"817","BOS","1,833,246","22,633",26.1,26.5,106,106,2,5,19,"$354,300","Williams and Popowski",1969,"2:40"
"818","CAL","758,388","9,363",26.1,26.6,94,95,1,1,12,"$329,000","Rigney and Phillips",1969,"2:30"
"819","CHC","1,674,993","20,427",29.1,27.6,113,112,4,5,14,"","Durocher",1969,"2:32"
"820","CHW","589,546","7,278",27.2,28.4,106,107,1,1,15,"$297,250","Lopez and Gutteridge",1969,"2:30"
"821","CIN","987,991","12,197",26.3,27.3,105,104,2,4,12,"","Bristol",1969,"2:35"
"822","CLE","619,970","7,654",27.3,27.3,103,103,0,1,16,"$497,500","Dark",1969,"2:37"
"823","DET","1,577,481","19,475",28.9,28.1,105,103,1,3,13,"$397,000","Smith",1969,"2:33"
"824","HOU","1,442,995","17,815",26.5,25.6,98,98,1,2,12,"","Walker",1969,"2:35"
"825","KCR","902,414","11,005",25.7,25.2,100,101,0,1,4,"$453,700","Gordon",1969,"2:28"
"826","LAD","1,784,527","22,031",27.4,27.3,93,92,3,1,15,"","Alston",1969,"2:31"
